srcip,sport,dstip,dsport,proto,dur,sbytes,dbytes,Spkts,Dpkts,attack_cat,label
10.40.0.252,8168,149.171.126.4,21,udp,0.2379,2980,7794,3,27,Normal,0
10.40.0.68,53996,149.171.126.9,443,udp,0.0702,1502,6449,12,28,Normal,0
10.40.0.141,28653,149.171.126.3,25,tcp,0.7147,2719,160,16,27,Normal,0
10.40.0.89,5425,149.171.126.4,25,udp,0.5321,151,5781,24,27,Normal,0
175.45.176.252,39771,149.171.126.1,80,tcp,1.0449,3827,481,105,1,DoS,1
10.40.0.5,62126,149.171.126.5,25,udp,0.931,2864,3778,13,17,Normal,0
10.40.0.11,17736,149.171.126.9,21,udp,1.2021,1818,7307,11,22,Normal,0
10.40.0.221,29251,149.171.126.3,443,tcp,0.0794,818,3180,2,26,Normal,0
10.40.0.148,32850,149.171.126.2,443,udp,1.4573,2850,7888,20,5,Normal,0
10.40.0.53,29376,149.171.126.7,53,tcp,0.8835,280,755,22,12,Normal,0
10.40.0.248,31703,149.171.126.5,80,udp,0.7991,422,6638,5,18,Normal,0
10.40.0.73,40055,149.171.126.9,80,tcp,0.1254,1244,3345,29,8,Normal,0
175.45.177.10,3368,149.171.126.2,43415,tcp,0.02,79,0,1,0,Reconnaissance,1
175.45.177.2,56457,149.171.126.2,7850,tcp,0.0305,62,0,1,0,Reconnaissance,1
175.45.179.123,64853,149.171.126.4,443,udp,1.3609,2815,478,11,4,Fuzzers,1
10.40.0.44,50301,149.171.126.9,25,udp,1.4243,1321,2784,28,18,Normal,0
175.45.176.250,26497,149.171.126.1,80,tcp,0.6126,5108,9,158,3,DoS,1
10.40.0.60,11478,149.171.126.5,25,tcp,0.1326,1393,4877,6,19,Normal,0
10.40.0.197,15958,149.171.126.3,443,udp,2.0509,3513,7020,4,22,Normal,0
10.40.0.139,57006,149.171.126.8,443,tcp,0.1495,1162,5889,28,9,Normal,0
10.40.0.158,55045,149.171.126.6,443,tcp,3.0601,2269,1631,22,4,Normal,0
10.40.0.155,10763,149.171.126.5,25,tcp,0.201,3859,4895,14,3,Normal,0
10.40.0.28,30945,149.171.126.2,443,udp,1.2762,3720,5429,24,21,Normal,0
10.40.0.238,31368,149.171.126.3,53,udp,0.1837,1488,4831,6,18,Normal,0
10.40.0.112,30669,149.171.126.8,53,udp,1.1802,574,7886,15,27,Normal,0
10.40.0.189,50233,149.171.126.6,25,tcp,0.7726,1760,3568,20,23,Normal,0
10.40.0.30,6268,149.171.126.4,25,udp,0.8928,1777,4541,24,21,Normal,0
10.40.0.89,6136,149.171.126.4,21,udp,1.7329,2533,3899,19,26,Normal,0
10.40.0.192,1906,149.171.126.7,21,tcp,2.3755,2429,5119,26,7,Normal,0
175.45.176.5,57413,149.171.126.1,80,tcp,0.8956,22441,56,45,1,DoS,1
10.40.0.106,3126,149.171.126.1,53,tcp,0.0555,3625,3048,29,10,Normal,0
10.40.0.155,41648,149.171.126.6,25,tcp,0.1767,3804,2443,25,2,Normal,0
10.40.0.52,62204,149.171.126.5,53,tcp,1.5157,1902,6207,4,18,Normal,0
10.40.0.217,3614,149.171.126.9,443,tcp,1.4691,2774,4971,29,4,Normal,0
175.45.178.25,39376,149.171.126.3,502,tcp,4.3874,5477,1070,31,34,Exploits,1
10.40.0.122,32118,149.171.126.5,80,tcp,1.3459,1925,5155,8,23,Normal,0
10.40.0.4,16563,149.171.126.1,443,tcp,0.2988,1498,3457,15,19,Normal,0
175.45.180.171,5879,149.171.126.5,445,tcp,1.3583,5670,1028,36,30,Worms,1
10.40.0.154,29245,149.171.126.9,53,udp,0.607,3232,337,5,29,Normal,0
10.40.0.245,21096,149.171.126.8,53,udp,0.9114,3307,470,23,5,Normal,0
10.40.0.120,56965,149.171.126.1,21,tcp,0.1087,1872,4240,4,20,Normal,0
175.45.179.22,34758,149.171.126.4,80,udp,0.8465,1839,469,17,5,Fuzzers,1
175.45.176.202,36785,149.171.126.1,80,tcp,1.0567,2106,284,175,4,DoS,1
10.40.0.109,43758,149.171.126.8,443,udp,0.1519,1658,6774,16,14,Normal,0
175.45.176.30,21296,149.171.126.1,80,tcp,0.3469,4811,364,88,4,DoS,1
10.40.0.172,34792,149.171.126.8,443,tcp,2.1152,1175,4634,29,29,Normal,0
175.45.178.232,39238,149.171.126.3,443,tcp,3.1389,2306,2900,23,46,Exploits,1
10.40.0.85,9386,149.171.126.2,21,udp,0.3825,1736,5442,6,20,Normal,0
10.40.0.59,5695,149.171.126.4,25,tcp,0.2092,3652,7007,27,19,Normal,0
175.45.176.164,13184,149.171.126.1,80,tcp,0.3992,19017,165,159,1,DoS,1
10.40.0.134,16771,149.171.126.1,443,tcp,0.1164,1924,6001,28,28,Normal,0
175.45.176.184,51566,149.171.126.1,80,tcp,1.0265,8295,347,179,0,DoS,1
10.40.0.181,54838,149.171.126.5,25,udp,0.1941,251,6150,27,17,Normal,0
175.45.177.235,24111,149.171.126.2,37828,tcp,0.0487,66,0,1,0,Reconnaissance,1
10.40.0.126,36624,149.171.126.2,53,udp,0.2449,2941,1145,6,13,Normal,0
10.40.0.145,58764,149.171.126.5,443,udp,0.3937,3613,4760,19,2,Normal,0
10.40.0.76,41338,149.171.126.6,443,tcp,1.5291,2206,4247,29,14,Normal,0
175.45.180.142,53661,149.171.126.5,1433,tcp,3.7679,5385,2484,38,13,Worms,1
10.40.0.137,27047,149.171.126.6,25,tcp,0.4783,1760,7514,13,3,Normal,0
10.40.0.140,7513,149.171.126.6,443,tcp,0.2545,1984,256,23,27,Normal,0
10.40.0.242,49498,149.171.126.7,80,udp,0.9932,677,3681,19,13,Normal,0
10.40.0.152,40610,149.171.126.5,443,udp,0.0548,766,1175,13,11,Normal,0
10.40.0.105,32707,149.171.126.2,443,tcp,1.1469,2339,7030,12,24,Normal,0
175.45.176.2,39393,149.171.126.1,80,tcp,0.5252,2902,226,74,0,DoS,1
10.40.0.229,48736,149.171.126.9,25,tcp,0.2483,500,2313,7,26,Normal,0
10.40.0.128,2115,149.171.126.2,21,tcp,2.2696,3403,4681,5,24,Normal,0
10.40.0.87,10660,149.171.126.1,80,udp,0.5251,2792,2430,25,24,Normal,0
10.40.0.43,1828,149.171.126.1,80,udp,0.1715,2666,2301,16,5,Normal,0
10.40.0.11,53191,149.171.126.3,80,udp,0.6619,1102,2856,15,18,Normal,0
175.45.177.124,24964,149.171.126.2,59314,tcp,0.0076,49,0,1,0,Reconnaissance,1
175.45.179.94,64941,149.171.126.4,80,udp,0.1423,2425,807,7,2,Fuzzers,1
10.40.0.106,25495,149.171.126.4,53,tcp,0.0842,2196,6477,14,3,Normal,0
10.40.0.231,38170,149.171.126.2,80,tcp,0.7494,2425,4932,26,24,Normal,0
175.45.177.64,2693,149.171.126.2,63767,tcp,0.0484,53,0,1,0,Reconnaissance,1
10.40.0.57,13617,149.171.126.6,25,tcp,0.107,491,2348,22,24,Normal,0
10.40.0.19,43106,149.171.126.3,443,udp,0.0124,2415,2093,22,5,Normal,0
10.40.0.195,33687,149.171.126.9,25,udp,0.7283,2381,3012,11,8,Normal,0
175.45.177.158,28293,149.171.126.2,12027,tcp,0.0416,75,0,1,0,Reconnaissance,1
175.45.178.160,26498,149.171.126.3,8080,tcp,4.989,6488,4303,48,34,Exploits,1
10.40.0.203,28647,149.171.126.7,25,udp,0.2694,1379,5176,18,11,Normal,0
175.45.180.173,50065,149.171.126.5,1433,tcp,0.9127,3057,913,34,16,Worms,1
10.40.0.48,53960,149.171.126.8,25,tcp,0.9892,3284,6218,29,20,Normal,0
10.40.0.118,15658,149.171.126.5,53,tcp,0.53,3735,1342,12,13,Normal,0
10.40.0.152,40208,149.171.126.9,25,udp,0.4439,2135,3018,20,9,Normal,0
10.40.0.250,19395,149.171.126.2,25,udp,0.1752,631,1784,11,9,Normal,0
10.40.0.73,14960,149.171.126.5,80,tcp,0.2755,1687,4516,26,26,Normal,0
175.45.179.219,27733,149.171.126.4,443,udp,0.3842,2220,172,18,5,Fuzzers,1
10.40.0.82,24044,149.171.126.4,53,tcp,0.41,1038,1243,11,4,Normal,0
10.40.0.166,9519,149.171.126.4,443,udp,1.4675,2959,4993,18,19,Normal,0
175.45.179.16,8390,149.171.126.4,80,udp,0.1907,1115,277,6,7,Fuzzers,1
175.45.176.13,55964,149.171.126.1,80,tcp,0.0399,12017,372,174,1,DoS,1
10.40.0.169,4445,149.171.126.2,443,tcp,0.8031,3382,338,26,17,Normal,0
10.40.0.169,6645,149.171.126.2,443,tcp,0.4378,3597,3028,12,26,Normal,0
10.40.0.181,15251,149.171.126.8,80,udp,0.3602,263,5435,20,16,Normal,0
10.40.0.123,29930,149.171.126.9,53,udp,0.4181,3899,2214,24,12,Normal,0
10.40.0.177,35346,149.171.126.6,443,udp,0.5875,3445,263,21,29,Normal,0
175.45.178.249,53012,149.171.126.3,8080,tcp,3.2983,5732,1206,24,36,Exploits,1
10.40.0.101,34449,149.171.126.8,443,tcp,2.1661,1702,3311,24,20,Normal,0
10.40.0.30,47763,149.171.126.1,53,tcp,0.281,1364,2329,20,16,Normal,0
10.40.0.92,6785,149.171.126.3,21,tcp,1.1077,1651,4895,10,27,Normal,0
175.45.177.58,30324,149.171.126.2,6734,tcp,0.0089,53,0,1,0,Reconnaissance,1
175.45.178.9,58197,149.171.126.3,8080,tcp,2.2198,5815,3862,53,34,Exploits,1
10.40.0.156,3728,149.171.126.6,53,udp,1.1834,3645,4281,22,15,Normal,0
10.40.0.135,17487,149.171.126.1,53,tcp,1.4693,3315,1280,8,25,Normal,0
10.40.0.219,52528,149.171.126.1,443,udp,0.6858,1484,797,11,7,Normal,0
175.45.176.196,31309,149.171.126.1,80,tcp,0.8039,17377,356,179,1,DoS,1
10.40.0.77,57033,149.171.126.7,25,udp,1.4461,189,4930,28,10,Normal,0
175.45.176.172,61375,149.171.126.1,80,tcp,0.0989,12400,354,151,3,DoS,1
10.40.0.205,41494,149.171.126.7,80,udp,2.3429,2234,4383,2,14,Normal,0
10.40.0.70,3010,149.171.126.7,21,udp,0.913,999,102,21,7,Normal,0
175.45.180.57,5219,149.171.126.5,135,tcp,1.8652,5176,1395,33,12,Worms,1
175.45.176.76,62935,149.171.126.1,80,tcp,0.1972,14965,187,160,0,DoS,1
175.45.178.68,55400,149.171.126.3,502,tcp,3.846,2140,1719,19,50,Exploits,1
175.45.176.92,25828,149.171.126.1,80,tcp,0.5415,14498,119,96,4,DoS,1
10.40.0.3,1835,149.171.126.3,80,udp,0.1517,1812,1645,12,28,Normal,0
175.45.177.224,14718,149.171.126.2,35699,tcp,0.0126,48,0,1,0,Reconnaissance,1
10.40.0.163,21058,149.171.126.3,21,udp,0.3932,1088,1970,29,16,Normal,0
10.40.0.223,12094,149.171.126.2,53,udp,0.1492,2567,2867,3,3,Normal,0
175.45.178.162,23877,149.171.126.3,8080,tcp,3.7104,5612,4142,31,53,Exploits,1
10.40.0.113,62773,149.171.126.1,80,udp,1.1373,1507,6235,28,24,Normal,0
175.45.180.54,46103,149.171.126.5,1433,tcp,2.5887,3713,2702,24,30,Worms,1
10.40.0.171,56720,149.171.126.2,443,tcp,0.5114,581,7377,25,17,Normal,0
175.45.177.239,36177,149.171.126.2,19049,tcp,0.0227,50,0,1,0,Reconnaissance,1
10.40.0.241,12077,149.171.126.2,80,udp,2.7228,1454,560,29,10,Normal,0
10.40.0.136,31064,149.171.126.8,21,tcp,1.041,3767,6085,5,17,Normal,0
175.45.178.142,42624,149.171.126.3,443,tcp,4.9963,4573,3215,40,24,Exploits,1
10.40.0.162,21127,149.171.126.9,21,tcp,0.021,3825,3259,29,8,Normal,0
10.40.0.9,21348,149.171.126.1,53,udp,0.0049,653,1341,14,15,Normal,0
10.40.0.235,3741,149.171.126.7,21,tcp,0.1903,2773,5864,16,12,Normal,0
10.40.0.83,18462,149.171.126.9,443,udp,0.362,709,2918,18,10,Normal,0
175.45.177.110,62504,149.171.126.2,15391,tcp,0.0492,41,0,1,0,Reconnaissance,1
175.45.177.230,10853,149.171.126.2,417,tcp,0.049,65,0,1,0,Reconnaissance,1
175.45.177.110,23067,149.171.126.2,43332,tcp,0.028,77,0,1,0,Reconnaissance,1
10.40.0.113,16260,149.171.126.2,25,udp,0.3639,292,3348,25,3,Normal,0
10.40.0.167,7454,149.171.126.6,80,tcp,0.0913,2865,5596,5,15,Normal,0
10.40.0.161,28868,149.171.126.8,443,udp,0.0014,3225,7988,28,7,Normal,0
10.40.0.142,43404,149.171.126.4,21,tcp,0.5938,3901,7728,26,5,Normal,0
175.45.176.162,15737,149.171.126.1,80,tcp,0.1131,16179,92,97,2,DoS,1
10.40.0.158,28005,149.171.126.5,21,tcp,0.6475,378,2871,4,8,Normal,0
10.40.0.144,20860,149.171.126.2,53,udp,0.8335,3511,3608,22,6,Normal,0
10.40.0.192,20593,149.171.126.6,53,udp,0.2325,2550,6335,28,2,Normal,0
175.45.176.82,47473,149.171.126.1,80,tcp,0.8276,4475,75,154,4,DoS,1
10.40.0.250,48680,149.171.126.7,53,udp,0.5352,940,735,16,27,Normal,0
10.40.0.179,22084,149.171.126.2,25,udp,2.3873,3742,291,13,24,Normal,0
10.40.0.28,2417,149.171.126.6,25,udp,0.1572,235,5823,27,7,Normal,0
10.40.0.203,61848,149.171.126.9,80,tcp,0.6979,445,265,17,15,Normal,0
10.40.0.219,29321,149.171.126.2,443,tcp,0.1,2981,1508,29,20,Normal,0
10.40.0.16,61118,149.171.126.4,21,tcp,0.2185,1446,1799,12,18,Normal,0
10.40.0.94,33454,149.171.126.9,25,udp,0.3169,2903,1343,6,15,Normal,0
10.40.0.131,16955,149.171.126.7,25,tcp,0.3339,491,985,3,22,Normal,0
10.40.0.214,11043,149.171.126.4,53,udp,0.3574,3709,4975,29,6,Normal,0
10.40.0.89,10158,149.171.126.7,25,tcp,0.7607,1607,6600,25,24,Normal,0
10.40.0.159,44629,149.171.126.7,53,udp,2.283,986,7737,17,25,Normal,0
10.40.0.107,50607,149.171.126.8,80,tcp,0.1573,1562,2011,11,21,Normal,0
175.45.178.172,5004,149.171.126.3,502,tcp,4.5493,4394,3326,53,43,Exploits,1
175.45.178.86,4253,149.171.126.3,502,tcp,2.153,6481,4333,52,38,Exploits,1
10.40.0.172,51282,149.171.126.9,21,tcp,1.3127,627,4890,6,27,Normal,0
10.40.0.72,54103,149.171.126.5,21,udp,0.0577,2372,6527,26,4,Normal,0
10.40.0.29,50966,149.171.126.4,53,tcp,1.512,3429,5074,26,16,Normal,0
175.45.177.1,26082,149.171.126.2,26825,tcp,0.0234,74,0,1,0,Reconnaissance,1
175.45.179.91,57463,149.171.126.4,443,udp,0.2718,1671,260,13,4,Fuzzers,1
10.40.0.237,55044,149.171.126.5,53,udp,1.495,1821,681,2,13,Normal,0
10.40.0.216,8905,149.171.126.3,443,tcp,1.8096,1613,4097,4,10,Normal,0
175.45.178.147,36697,149.171.126.3,502,tcp,1.875,6016,2406,31,45,Exploits,1
175.45.176.180,17925,149.171.126.1,80,tcp,0.4228,18927,439,178,1,DoS,1
175.45.177.137,34677,149.171.126.2,6410,tcp,0.0289,51,0,1,0,Reconnaissance,1
10.40.0.84,33294,149.171.126.1,25,tcp,0.2398,916,4383,22,10,Normal,0
10.40.0.243,42514,149.171.126.4,21,udp,4.1284,2319,3754,2,29,Normal,0
175.45.176.219,3050,149.171.126.1,80,tcp,0.6742,23790,177,108,1,DoS,1
10.40.0.114,37523,149.171.126.9,25,tcp,0.2964,2469,5248,28,15,Normal,0
175.45.178.195,61235,149.171.126.3,443,tcp,4.7998,4339,2184,31,21,Exploits,1
10.40.0.187,17132,149.171.126.5,21,tcp,0.1856,3494,1062,19,19,Normal,0
175.45.179.202,12296,149.171.126.4,443,udp,0.574,1473,864,7,4,Fuzzers,1
10.40.0.171,51920,149.171.126.1,80,udp,0.7353,283,7458,8,6,Normal,0
10.40.0.211,10417,149.171.126.3,25,udp,0.4978,281,7353,10,2,Normal,0
175.45.180.213,30224,149.171.126.5,135,tcp,2.6772,3834,2625,34,34,Worms,1
175.45.177.96,22515,149.171.126.2,43682,tcp,0.018,43,0,1,0,Reconnaissance,1
10.40.0.59,30202,149.171.126.9,25,udp,0.2453,1565,6063,14,21,Normal,0
10.40.0.39,51410,149.171.126.7,80,tcp,0.4609,729,7263,3,9,Normal,0
10.40.0.109,39690,149.171.126.1,80,tcp,0.3193,2020,6779,2,9,Normal,0
10.40.0.238,62054,149.171.126.2,443,tcp,4.5752,2863,7111,16,29,Normal,0
10.40.0.161,7533,149.171.126.5,80,udp,1.4411,2097,7340,2,25,Normal,0
10.40.0.181,13777,149.171.126.5,21,udp,0.7636,1379,7555,24,14,Normal,0
175.45.179.85,61294,149.171.126.4,80,udp,0.9495,2879,314,5,5,Fuzzers,1
10.40.0.48,6648,149.171.126.3,80,udp,0.2537,3011,72,6,4,Normal,0
175.45.179.253,47538,149.171.126.4,443,udp,0.6693,2038,568,24,9,Fuzzers,1
175.45.179.1,1870,149.171.126.4,80,udp,0.75,2364,541,24,7,Fuzzers,1
175.45.178.24,59802,149.171.126.3,8080,tcp,3.7671,3899,2419,26,48,Exploits,1
175.45.176.22,63945,149.171.126.1,80,tcp,0.8773,3127,422,106,4,DoS,1
175.45.176.92,32667,149.171.126.1,80,tcp,0.8148,17435,396,112,2,DoS,1
10.40.0.15,22585,149.171.126.3,53,udp,0.2087,1611,7598,27,17,Normal,0
10.40.0.138,34396,149.171.126.8,21,udp,2.8753,2129,5173,6,17,Normal,0
10.40.0.181,58807,149.171.126.7,80,tcp,2.9912,3650,4283,7,22,Normal,0
10.40.0.91,7505,149.171.126.3,53,udp,0.7091,3986,6932,28,15,Normal,0
175.45.178.201,44357,149.171.126.3,8080,tcp,2.3521,8998,4182,29,26,Exploits,1
10.40.0.192,58406,149.171.126.3,53,tcp,2.8004,2186,987,22,8,Normal,0
10.40.0.11,11463,149.171.126.3,25,udp,0.3029,2078,7519,24,29,Normal,0
10.40.0.212,27706,149.171.126.2,80,udp,2.1287,3311,7956,28,25,Normal,0
175.45.176.97,16513,149.171.126.1,80,tcp,0.3445,16684,215,168,4,DoS,1
10.40.0.73,13936,149.171.126.8,21,udp,0.052,283,4926,26,14,Normal,0
175.45.179.228,23400,149.171.126.4,80,udp,1.681,758,734,23,3,Fuzzers,1
175.45.176.89,35317,149.171.126.1,80,tcp,1.1254,1730,388,102,2,DoS,1
175.45.177.162,37623,149.171.126.2,15276,tcp,0.0181,42,0,1,0,Reconnaissance,1
10.40.0.246,6989,149.171.126.2,21,udp,1.7153,1355,4146,15,4,Normal,0
175.45.178.17,57216,149.171.126.3,8080,tcp,3.4946,3731,1903,57,30,Exploits,1
10.40.0.229,62750,149.171.126.7,21,tcp,0.4336,2601,1074,3,19,Normal,0
10.40.0.24,46581,149.171.126.2,443,udp,0.3161,2737,589,11,19,Normal,0
10.40.0.17,61375,149.171.126.6,25,udp,0.0511,2793,7775,26,18,Normal,0
175.45.178.245,49966,149.171.126.3,443,tcp,2.5674,6481,3617,49,48,Exploits,1
10.40.0.185,56322,149.171.126.1,80,udp,1.8629,720,7948,26,12,Normal,0
175.45.177.31,13530,149.171.126.2,59931,tcp,0.0486,77,0,1,0,Reconnaissance,1
10.40.0.115,37308,149.171.126.4,53,udp,0.0287,2330,284,24,27,Normal,0
10.40.0.151,34958,149.171.126.5,443,udp,0.0171,2870,1196,12,6,Normal,0
175.45.176.223,21811,149.171.126.1,80,tcp,1.0341,14606,289,183,2,DoS,1
10.40.0.170,17663,149.171.126.1,443,udp,0.5195,3987,4406,28,8,Normal,0
10.40.0.161,35662,149.171.126.2,21,tcp,0.1838,2089,7930,23,11,Normal,0
10.40.0.64,6241,149.171.126.8,53,tcp,0.1861,817,4752,28,20,Normal,0
10.40.0.127,21196,149.171.126.9,443,udp,0.0289,1784,481,3,6,Normal,0
175.45.177.74,65022,149.171.126.2,51884,tcp,0.0254,55,0,1,0,Reconnaissance,1
175.45.176.85,17574,149.171.126.1,80,tcp,0.939,24570,289,141,1,DoS,1
175.45.176.156,25280,149.171.126.1,80,tcp,0.5563,1426,155,146,0,DoS,1
10.40.0.76,51357,149.171.126.4,53,udp,0.0903,1262,72,14,22,Normal,0
175.45.180.102,18238,149.171.126.5,135,tcp,0.5811,5416,2587,28,36,Worms,1
10.40.0.175,3370,149.171.126.4,443,udp,2.4289,1752,6613,7,28,Normal,0
175.45.177.64,40866,149.171.126.2,22780,tcp,0.0223,71,0,1,0,Reconnaissance,1
175.45.177.126,25501,149.171.126.2,23632,tcp,0.0386,56,0,1,0,Reconnaissance,1
10.40.0.92,22685,149.171.126.4,25,udp,0.4283,3064,900,12,21,Normal,0
10.40.0.53,56559,149.171.126.1,21,udp,0.3675,1869,887,18,10,Normal,0
10.40.0.186,34892,149.171.126.1,25,udp,0.4209,401,4422,6,6,Normal,0
175.45.179.222,51053,149.171.126.4,80,udp,1.1226,546,305,7,3,Fuzzers,1
10.40.0.44,14398,149.171.126.4,53,tcp,0.4107,3574,1332,8,17,Normal,0
175.45.177.250,61895,149.171.126.2,33618,tcp,0.0494,41,0,1,0,Reconnaissance,1
10.40.0.39,33741,149.171.126.1,53,udp,1.2602,2541,298,2,26,Normal,0
10.40.0.5,21521,149.171.126.3,53,tcp,2.1369,3772,348,8,16,Normal,0
10.40.0.133,8125,149.171.126.4,21,tcp,0.6504,3249,3883,13,8,Normal,0
10.40.0.189,30107,149.171.126.7,53,tcp,0.8485,530,3626,11,23,Normal,0
10.40.0.243,14435,149.171.126.7,443,udp,0.1587,1657,2239,13,13,Normal,0
10.40.0.99,55094,149.171.126.9,53,tcp,1.3352,1965,3523,10,27,Normal,0
10.40.0.105,15924,149.171.126.8,21,tcp,0.4491,2377,1582,21,18,Normal,0
175.45.179.171,10205,149.171.126.4,80,udp,0.9669,2983,942,22,2,Fuzzers,1
175.45.176.82,61426,149.171.126.1,80,tcp,0.6338,18011,47,106,3,DoS,1
10.40.0.129,37127,149.171.126.6,25,udp,0.2048,1324,76,15,6,Normal,0
10.40.0.32,46420,149.171.126.9,80,tcp,0.2126,365,4218,14,17,Normal,0
10.40.0.129,8361,149.171.126.9,21,udp,0.7592,2364,2039,8,6,Normal,0
10.40.0.37,11255,149.171.126.2,80,udp,0.0282,2600,6844,29,4,Normal,0
175.45.179.25,6505,149.171.126.4,443,udp,0.6123,2988,527,9,7,Fuzzers,1
10.40.0.164,10510,149.171.126.6,25,udp,0.0291,3244,2615,7,27,Normal,0
10.40.0.49,12247,149.171.126.4,80,tcp,0.6615,3107,1271,5,19,Normal,0
10.40.0.52,58745,149.171.126.7,443,udp,0.4659,1370,2175,6,4,Normal,0
10.40.0.224,49752,149.171.126.8,21,udp,0.37,1049,6783,20,10,Normal,0
10.40.0.203,2629,149.171.126.1,443,tcp,0.1733,3027,7364,7,20,Normal,0
175.45.177.10,36602,149.171.126.2,20100,tcp,0.0412,58,0,1,0,Reconnaissance,1
10.40.0.13,61262,149.171.126.8,80,udp,0.0551,980,2542,19,12,Normal,0
175.45.179.203,44568,149.171.126.4,443,udp,1.4413,1434,680,11,6,Fuzzers,1
175.45.176.197,63892,149.171.126.1,80,tcp,0.1234,17698,437,149,3,DoS,1
10.40.0.83,54239,149.171.126.2,21,udp,0.2329,1251,3821,8,19,Normal,0
175.45.178.95,31980,149.171.126.3,8080,tcp,2.0132,2711,1612,53,34,Exploits,1
10.40.0.161,36927,149.171.126.5,80,udp,1.3518,3472,6814,2,2,Normal,0
10.40.0.81,54300,149.171.126.2,25,udp,0.6126,150,4864,5,5,Normal,0
175.45.180.145,20728,149.171.126.5,135,tcp,2.9203,5201,1280,37,34,Worms,1
175.45.177.54,17572,149.171.126.2,7086,tcp,0.049,72,0,1,0,Reconnaissance,1
10.40.0.199,34484,149.171.126.8,21,tcp,1.0332,3162,604,16,3,Normal,0
175.45.177.242,38289,149.171.126.2,13084,tcp,0.0169,45,0,1,0,Reconnaissance,1
10.40.0.12,64741,149.171.126.6,443,udp,2.2513,3110,724,24,8,Normal,0
175.45.176.60,30399,149.171.126.1,80,tcp,0.8939,12335,366,114,0,DoS,1
175.45.176.234,10905,149.171.126.1,80,tcp,0.1751,17021,369,103,1,DoS,1
175.45.177.97,16377,149.171.126.2,49882,tcp,0.0462,51,0,1,0,Reconnaissance,1
10.40.0.33,61263,149.171.126.3,53,tcp,2.7992,510,3938,10,24,Normal,0
10.40.0.217,46191,149.171.126.5,25,tcp,2.123,2579,241,23,9,Normal,0
10.40.0.253,24522,149.171.126.6,443,tcp,0.299,3898,2810,21,24,Normal,0
10.40.0.227,18313,149.171.126.7,25,tcp,1.3925,3563,5244,27,20,Normal,0
10.40.0.69,17067,149.171.126.7,21,tcp,0.1505,2468,1467,21,14,Normal,0
175.45.177.38,46065,149.171.126.2,24520,tcp,0.0173,70,0,1,0,Reconnaissance,1
10.40.0.151,54930,149.171.126.1,80,udp,0.3062,744,1212,28,14,Normal,0
10.40.0.40,43537,149.171.126.7,53,udp,0.1911,3559,5708,18,8,Normal,0
10.40.0.108,13992,149.171.126.2,25,udp,1.3641,1766,3421,12,22,Normal,0
10.40.0.127,60145,149.171.126.7,25,udp,0.3434,826,6376,2,24,Normal,0
10.40.0.26,21835,149.171.126.7,443,tcp,0.0268,2969,6404,3,19,Normal,0
10.40.0.54,8609,149.171.126.7,53,tcp,1.1064,2262,4074,10,29,Normal,0
10.40.0.196,65179,149.171.126.4,21,tcp,0.2116,2189,6828,19,2,Normal,0
175.45.176.6,60545,149.171.126.1,80,tcp,0.2796,10182,403,125,2,DoS,1
10.40.0.155,13505,149.171.126.4,25,tcp,0.3021,2070,2205,15,2,Normal,0
10.40.0.75,7700,149.171.126.3,21,tcp,0.0551,2986,6658,25,13,Normal,0
10.40.0.48,33158,149.171.126.1,443,tcp,0.8314,2642,3916,23,13,Normal,0
175.45.178.225,28208,149.171.126.3,502,tcp,2.0408,2436,1693,50,28,Exploits,1
10.40.0.7,52877,149.171.126.2,80,udp,0.6444,255,5460,29,19,Normal,0
175.45.179.95,65194,149.171.126.4,80,udp,0.2941,2214,873,22,4,Fuzzers,1
10.40.0.194,39396,149.171.126.4,80,udp,0.7765,2337,5217,21,3,Normal,0
175.45.176.93,25457,149.171.126.1,80,tcp,0.7031,17979,27,53,1,DoS,1
175.45.176.78,12951,149.171.126.1,80,tcp,1.0457,18018,14,56,0,DoS,1
175.45.179.229,57754,149.171.126.4,443,udp,1.0017,501,339,10,2,Fuzzers,1
175.45.179.124,19131,149.171.126.4,80,udp,1.7389,1206,991,23,8,Fuzzers,1
10.40.0.226,18190,149.171.126.4,21,udp,2.4731,2066,2886,3,6,Normal,0
175.45.176.182,52625,149.171.126.1,80,tcp,0.5617,13024,358,134,1,DoS,1
10.40.0.189,44700,149.171.126.3,25,udp,1.5723,1260,2147,17,2,Normal,0
10.40.0.188,17101,149.171.126.6,443,udp,0.5939,1458,1294,17,6,Normal,0
10.40.0.49,5256,149.171.126.3,80,tcp,0.1249,2756,3800,29,28,Normal,0
10.40.0.134,30817,149.171.126.1,80,tcp,1.4664,2899,6962,25,8,Normal,0
175.45.178.130,1500,149.171.126.3,502,tcp,4.7917,6732,4168,37,52,Exploits,1
175.45.176.238,6479,149.171.126.1,80,tcp,0.8507,12487,280,192,1,DoS,1
10.40.0.47,62230,149.171.126.2,21,udp,0.044,3764,907,25,8,Normal,0
10.40.0.66,45677,149.171.126.2,443,tcp,2.5406,2010,1301,13,3,Normal,0
10.40.0.93,22977,149.171.126.9,443,tcp,2.0437,1313,1203,21,10,Normal,0
10.40.0.188,31689,149.171.126.7,53,tcp,0.636,3284,6606,11,13,Normal,0
175.45.176.201,39035,149.171.126.1,80,tcp,0.8739,14991,191,132,0,DoS,1
10.40.0.226,12884,149.171.126.5,21,udp,0.059,1892,4335,8,24,Normal,0
