Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Packets/s,Source IP,Destination IP,Label
443,269989,2056,0,146257,0,7612.28,185.220.164.85,10.0.0.1,DDoS
443,1600915,15,9,2873,3976,14.98,192.168.1.28,10.0.0.7,BENIGN
53,481943,10,38,2616,15072,99.39,192.168.1.116,10.0.0.2,BENIGN
443,114272,16,34,2431,14356,433.76,192.168.1.136,10.0.0.6,BENIGN
80,11592622,17,3,927,180,1.47,45.154.255.209,10.0.0.1,DoS Hulk
80,269040,19,17,3598,23004,133.31,192.168.1.151,10.0.0.5,BENIGN
80,1682601,20,20,2927,7746,23.76,192.168.1.219,10.0.0.5,BENIGN
80,7962509,27,1,1572,185,3.39,45.154.255.184,10.0.0.1,DoS Hulk
80,492767,931,0,46492,0,1888.95,185.220.41.166,10.0.0.1,DDoS
80,17063378,69,2,2886,150,4.04,45.154.255.190,10.0.0.1,DoS Hulk
8080,2512589,13,7,1868,9525,7.96,192.168.1.119,10.0.0.9,BENIGN
443,441978,25,8,6975,4944,74.5,192.168.1.225,10.0.0.3,BENIGN
3051,320,1,0,55,0,4750.81,194.26.29.92,10.0.0.2,PortScan
8080,1014479,12,17,4961,14891,28.56,192.168.1.75,10.0.0.7,BENIGN
22,2910235,26,25,3961,2105,17.86,103.203.57.52,10.0.0.4,SSH-Patator
22,350975,34,4,16639,4589,107.96,192.168.1.106,10.0.0.5,BENIGN
80,258778,228,0,16673,0,880.72,185.220.56.141,10.0.0.1,DDoS
27346,4697,2,0,47,0,416.9,194.26.29.83,10.0.0.2,PortScan
22,668626,8,15,2951,20859,34.35,192.168.1.220,10.0.0.8,BENIGN
554,452355,27,4,12334,4190,68.38,192.168.1.204,10.0.0.8,BENIGN
502,11248194,35,49,32495,18078,6.22,198.51.100.71,10.0.0.3,Infiltration
21,1294260,16,14,2955,1681,24.71,103.203.57.120,10.0.0.4,SSH-Patator
443,2753465,24,34,4116,27158,21.06,192.168.1.125,10.0.0.4,BENIGN
443,3946919,36,35,17099,27468,18.24,198.51.100.129,10.0.0.3,Infiltration
443,788819,28,8,7881,9804,45.58,192.168.1.215,10.0.0.9,BENIGN
53,977313,17,21,7658,10293,38.84,192.168.1.27,10.0.0.4,BENIGN
443,84728,187,0,14500,0,2204.45,185.220.137.246,10.0.0.1,DDoS
554,1136363,26,8,9770,5406,29.89,192.168.1.137,10.0.0.7,BENIGN
8080,2507610,14,15,3815,14198,11.56,192.168.1.137,10.0.0.5,BENIGN
64309,3688,2,0,45,0,527.85,194.26.29.12,10.0.0.2,PortScan
80,24312013,56,4,2479,41,2.3,45.154.255.64,10.0.0.1,DoS Hulk
80,2183942,34,22,16338,14797,25.63,192.168.1.141,10.0.0.6,BENIGN
8080,373345,2,21,736,15408,61.44,192.168.1.69,10.0.0.9,BENIGN
443,2246188,34,19,16993,14081,23.59,192.168.1.120,10.0.0.6,BENIGN
53,3064380,32,38,12609,34021,22.84,192.168.1.133,10.0.0.6,BENIGN
35167,1484,1,0,57,0,1262.58,194.26.29.51,10.0.0.2,PortScan
80,27736861,18,4,1062,62,0.65,45.154.255.206,10.0.0.1,DoS Hulk
22,445211,26,37,4795,8024,141.19,192.168.1.114,10.0.0.6,BENIGN
554,149504,9,23,4304,27009,212.62,192.168.1.194,10.0.0.3,BENIGN
80,1006776,7,13,3475,11529,19.85,192.168.1.142,10.0.0.9,BENIGN
22,1841480,29,30,4537,10818,32.02,192.168.1.154,10.0.0.9,BENIGN
8080,1904398,28,24,5819,8970,27.29,192.168.1.39,10.0.0.9,BENIGN
22,741383,7,19,1893,15315,35.02,192.168.1.228,10.0.0.4,BENIGN
53,592040,7,29,2073,36406,60.7,192.168.1.148,10.0.0.9,BENIGN
80,403895,26,17,5571,8510,106.2,192.168.1.32,10.0.0.9,BENIGN
8080,626823,12,12,3110,13342,38.23,192.168.1.113,10.0.0.5,BENIGN
8080,122689,1443,0,105762,0,11751.79,185.220.131.15,10.0.0.1,DDoS
8080,2709209,22,18,10422,14969,14.76,192.168.1.226,10.0.0.9,BENIGN
443,3596276,21,24,1580,30004,12.51,192.168.1.11,10.0.0.5,BENIGN
443,871563,25,34,1929,30696,67.62,192.168.1.57,10.0.0.3,BENIGN
443,8303303,32,35,26375,21138,7.71,198.51.100.185,10.0.0.3,Infiltration
8080,302421,27,5,3848,5874,105.46,192.168.1.50,10.0.0.1,BENIGN
22,1110513,39,35,5374,4129,70.17,103.203.57.129,10.0.0.4,SSH-Patator
554,3197603,32,34,3793,30322,20.63,192.168.1.49,10.0.0.7,BENIGN
38817,241,1,0,44,0,5848.1,194.26.29.209,10.0.0.2,PortScan
443,5227826,73,48,56018,28567,27.92,198.51.100.66,10.0.0.3,Infiltration
61981,250,2,0,45,0,5699.23,194.26.29.77,10.0.0.2,PortScan
8080,1119301,30,11,13247,3660,36.6,192.168.1.82,10.0.0.6,BENIGN
8080,968589,3,25,1507,25228,28.88,192.168.1.92,10.0.0.8,BENIGN
80,8660884,23,1,1694,179,2.66,45.154.255.166,10.0.0.1,DoS Hulk
80,709408,25,25,4266,12510,70.38,192.168.1.125,10.0.0.3,BENIGN
554,2048637,21,10,7279,11515,15.12,192.168.1.147,10.0.0.4,BENIGN
80,8692105,37,2,1690,88,4.26,45.154.255.193,10.0.0.1,DoS Hulk
53,2248167,29,24,10676,28019,23.56,192.168.1.199,10.0.0.6,BENIGN
8080,269148,251,0,17518,0,932.23,185.220.47.159,10.0.0.1,DDoS
8080,6858624,14,7,3715,8232,3.06,192.168.1.239,10.0.0.1,BENIGN
22,1824049,31,20,8344,26726,27.94,192.168.1.165,10.0.0.4,BENIGN
8080,2506084,23,24,5143,13553,18.75,192.168.1.120,10.0.0.3,BENIGN
8080,37747,23,29,11140,20365,1342.01,192.168.1.32,10.0.0.8,BENIGN
47388,1271,1,0,58,0,1458.32,194.26.29.13,10.0.0.2,PortScan
22,789873,29,20,9537,25486,61.96,192.168.1.129,10.0.0.6,BENIGN
554,456776,12,2,1951,273,30.58,192.168.1.118,10.0.0.5,BENIGN
22,2708354,9,29,1247,5185,14.03,192.168.1.25,10.0.0.1,BENIGN
443,443163,1488,0,93940,0,3356.92,185.220.47.61,10.0.0.1,DDoS
53,77052,30,35,7546,8849,832.77,192.168.1.16,10.0.0.1,BENIGN
80,1728187,13,18,2416,19923,17.93,192.168.1.169,10.0.0.5,BENIGN
21,1092344,39,38,6027,4046,71.34,103.203.57.83,10.0.0.4,SSH-Patator
53,1217464,28,15,12389,9773,35.29,192.168.1.110,10.0.0.1,BENIGN
80,3572451,22,16,10226,8482,10.63,192.168.1.233,10.0.0.3,BENIGN
22,496210,27,25,9619,6074,104.58,192.168.1.184,10.0.0.1,BENIGN
443,2416276,24,16,9979,17078,16.55,192.168.1.32,10.0.0.6,BENIGN
22,1542643,15,22,4502,29613,23.97,192.168.1.51,10.0.0.3,BENIGN
80,21461052,76,4,4565,75,3.54,45.154.255.148,10.0.0.1,DoS Hulk
35809,4089,2,0,57,0,477.33,194.26.29.157,10.0.0.2,PortScan
443,1929611,23,19,10560,13386,21.75,192.168.1.182,10.0.0.6,BENIGN
443,544843,34,31,11729,25981,119.08,192.168.1.231,10.0.0.8,BENIGN
443,257771,908,0,49698,0,3521.13,185.220.203.27,10.0.0.1,DDoS
53,122679,10,28,1393,13988,307.25,192.168.1.185,10.0.0.4,BENIGN
22,996539,29,25,4972,3751,58.14,103.203.57.40,10.0.0.4,SSH-Patator
22,904440,11,8,2755,7901,20.98,192.168.1.151,10.0.0.6,BENIGN
80,6860436,39,4,2821,161,5.68,45.154.255.169,10.0.0.1,DoS Hulk
443,3287937,19,6,6419,933,7.6,192.168.1.56,10.0.0.8,BENIGN
80,194697,20,27,3863,29998,240.17,192.168.1.147,10.0.0.9,BENIGN
80,654858,15,25,6031,23333,60.99,192.168.1.116,10.0.0.6,BENIGN
22,197007,28,28,2791,37057,282.82,192.168.1.221,10.0.0.8,BENIGN
502,7103578,32,26,15247,17972,9.01,198.51.100.79,10.0.0.3,Infiltration
53,101364,18,15,7548,3874,322.38,192.168.1.48,10.0.0.9,BENIGN
554,883723,3,21,292,7782,27.13,192.168.1.35,10.0.0.7,BENIGN
32777,3540,2,0,46,0,549.39,194.26.29.195,10.0.0.2,PortScan
53,259843,21,31,3590,30442,199.35,192.168.1.49,10.0.0.3,BENIGN
8080,550545,4,32,1005,37364,65.27,192.168.1.38,10.0.0.3,BENIGN
8080,337807,2305,0,130039,0,6821.4,185.220.174.187,10.0.0.1,DDoS
53,15147,30,6,15107,999,2229.39,192.168.1.81,10.0.0.7,BENIGN
554,829338,24,16,5612,12892,48.17,192.168.1.27,10.0.0.6,BENIGN
80,7777820,73,4,6767,57,9.38,45.154.255.39,10.0.0.1,DoS Hulk
502,5034330,64,45,38028,24544,25.42,198.51.100.230,10.0.0.3,Infiltration
80,1397080,13,38,5569,31044,36.48,192.168.1.166,10.0.0.5,BENIGN
554,1085085,7,24,1774,28018,28.54,192.168.1.59,10.0.0.5,BENIGN
8080,351656,1833,0,74270,0,5211.0,185.220.41.154,10.0.0.1,DDoS
53,517558,25,9,2137,6981,65.57,192.168.1.210,10.0.0.1,BENIGN
554,344465,19,20,3068,18149,112.89,192.168.1.126,10.0.0.3,BENIGN
53,2564507,2,16,972,5198,7.02,192.168.1.164,10.0.0.5,BENIGN
80,397625,2049,0,117879,0,5151.8,185.220.162.190,10.0.0.1,DDoS
8443,13153034,61,40,52869,37184,9.27,198.51.100.190,10.0.0.3,Infiltration
64311,1264,2,0,59,0,1465.55,194.26.29.64,10.0.0.2,PortScan
80,996621,22,11,9724,8260,33.08,192.168.1.115,10.0.0.4,BENIGN
554,138933,23,7,8954,8914,214.39,192.168.1.23,10.0.0.4,BENIGN
54403,4831,1,0,44,0,405.55,194.26.29.174,10.0.0.2,PortScan
8080,2958146,14,10,6162,8205,8.11,192.168.1.64,10.0.0.4,BENIGN
443,386987,2092,0,131496,0,5404.46,185.220.140.249,10.0.0.1,DDoS
443,46053,33,34,2530,41284,1423.92,192.168.1.15,10.0.0.5,BENIGN
80,1854424,30,33,9670,5982,33.95,192.168.1.172,10.0.0.6,BENIGN
554,370478,34,12,10667,8713,123.83,192.168.1.198,10.0.0.8,BENIGN
8080,129563,4,39,787,48152,329.34,192.168.1.232,10.0.0.7,BENIGN
502,4307366,53,56,45234,19037,24.6,198.51.100.230,10.0.0.3,Infiltration
554,775678,2,21,453,6699,29.61,192.168.1.88,10.0.0.3,BENIGN
80,115926,2,12,384,4817,119.73,192.168.1.126,10.0.0.1,BENIGN
53,141881,31,10,6910,9530,286.95,192.168.1.137,10.0.0.5,BENIGN
443,732674,25,34,12713,36976,80.42,192.168.1.184,10.0.0.8,BENIGN
80,18068349,52,4,3784,96,2.88,45.154.255.245,10.0.0.1,DoS Hulk
80,16419848,42,2,3287,132,2.56,45.154.255.39,10.0.0.1,DoS Hulk
53,1033973,32,7,14579,8721,37.68,192.168.1.61,10.0.0.5,BENIGN
554,741533,16,27,6058,17690,57.91,192.168.1.28,10.0.0.2,BENIGN
80,645270,22,36,4377,21220,89.75,192.168.1.98,10.0.0.7,BENIGN
554,3363900,12,16,4327,9726,8.32,192.168.1.210,10.0.0.4,BENIGN
554,2681004,9,32,950,34453,15.29,192.168.1.134,10.0.0.2,BENIGN
80,88440,511,0,39906,0,5771.39,185.220.217.64,10.0.0.1,DDoS
53,1650340,19,3,7594,1482,13.32,192.168.1.107,10.0.0.2,BENIGN
554,417872,27,7,10221,4598,81.17,192.168.1.112,10.0.0.6,BENIGN
22,502785,7,8,2660,4064,29.77,192.168.1.121,10.0.0.7,BENIGN
22,4357315,12,26,5066,33872,8.72,192.168.1.122,10.0.0.7,BENIGN
8080,417055,282,0,11445,0,676.01,185.220.103.166,10.0.0.1,DDoS
53,2137753,18,12,3353,5703,14.03,192.168.1.150,10.0.0.3,BENIGN
80,695848,33,2,14842,2035,50.23,192.168.1.152,10.0.0.3,BENIGN
8080,298380,26,27,4196,7347,177.03,192.168.1.174,10.0.0.4,BENIGN
53,164524,24,28,9319,6704,314.15,192.168.1.136,10.0.0.4,BENIGN
80,2524212,26,31,3648,41106,22.57,192.168.1.201,10.0.0.8,BENIGN
554,1102060,22,13,7005,10465,31.73,192.168.1.177,10.0.0.5,BENIGN
443,422718,1263,0,56436,0,2987.1,185.220.141.194,10.0.0.1,DDoS
53,1900554,10,34,1643,16905,23.14,192.168.1.112,10.0.0.8,BENIGN
80,27465032,63,1,5136,88,2.29,45.154.255.124,10.0.0.1,DoS Hulk
80,7578494,54,2,3094,196,7.12,45.154.255.58,10.0.0.1,DoS Hulk
443,1017713,33,33,8872,32274,64.79,192.168.1.235,10.0.0.8,BENIGN
80,312816,5,39,818,22788,140.21,192.168.1.82,10.0.0.3,BENIGN
443,365786,24,5,7015,6239,79.07,192.168.1.12,10.0.0.9,BENIGN
7104,382,1,0,40,0,4147.61,194.26.29.12,10.0.0.2,PortScan
8080,12302,17,25,3417,15980,3157.41,192.168.1.211,10.0.0.3,BENIGN
80,385286,2249,0,146239,0,5835.71,185.220.151.127,10.0.0.1,DDoS
554,2277631,21,31,10534,6628,22.82,192.168.1.133,10.0.0.3,BENIGN
80,16638374,10,4,763,192,0.6,45.154.255.220,10.0.0.1,DoS Hulk
53,355431,17,37,3897,12740,151.5,192.168.1.184,10.0.0.3,BENIGN
8080,5380083,28,10,7764,7096,7.06,192.168.1.217,10.0.0.8,BENIGN
80,334559,970,0,39893,0,2898.47,185.220.131.111,10.0.0.1,DDoS
8080,4326549,21,31,9972,24730,12.02,192.168.1.138,10.0.0.7,BENIGN
8080,821848,12,23,5173,26854,42.54,192.168.1.48,10.0.0.6,BENIGN
80,820519,17,15,6058,8021,38.95,192.168.1.211,10.0.0.4,BENIGN
8443,9039728,64,39,26826,19470,14.16,198.51.100.57,10.0.0.3,Infiltration
443,348551,5,8,382,8373,37.19,192.168.1.44,10.0.0.2,BENIGN
8080,292431,819,0,52345,0,2799.7,185.220.151.237,10.0.0.1,DDoS
53,2276363,29,38,10524,10846,29.42,192.168.1.164,10.0.0.9,BENIGN
8080,1868834,30,26,10131,23462,29.95,192.168.1.187,10.0.0.3,BENIGN
554,1180417,12,2,2184,1380,11.85,192.168.1.203,10.0.0.6,BENIGN
8080,213000,5,6,2055,4255,51.4,192.168.1.10,10.0.0.2,BENIGN
80,10753010,34,1,3383,169,3.16,45.154.255.183,10.0.0.1,DoS Hulk
80,85753,527,0,33935,0,6138.34,185.220.47.170,10.0.0.1,DDoS
80,5605073,63,3,3084,124,11.24,45.154.255.149,10.0.0.1,DoS Hulk
22,155915,34,37,6370,9489,452.47,192.168.1.82,10.0.0.3,BENIGN
22,3265026,11,13,3294,16063,7.35,192.168.1.221,10.0.0.1,BENIGN
443,21673,23,12,9621,7052,1543.68,192.168.1.135,10.0.0.1,BENIGN
80,20543510,42,4,2301,196,2.04,45.154.255.159,10.0.0.1,DoS Hulk
53,179195,30,30,10876,10954,332.97,192.168.1.43,10.0.0.5,BENIGN
80,6519278,34,1,3155,86,5.21,45.154.255.186,10.0.0.1,DoS Hulk
53,1534066,21,31,4876,17776,33.87,192.168.1.217,10.0.0.6,BENIGN
80,6805208,18,35,1491,35968,7.79,192.168.1.19,10.0.0.5,BENIGN
80,250660,2128,0,166130,0,8486.19,185.220.151.213,10.0.0.1,DDoS
80,15684118,63,1,4733,82,4.02,45.154.255.175,10.0.0.1,DoS Hulk
443,140553,24,9,8549,11945,233.13,192.168.1.194,10.0.0.7,BENIGN
8080,539015,29,14,5325,2661,79.63,192.168.1.230,10.0.0.4,BENIGN
22,3097298,15,30,4159,23028,14.52,192.168.1.224,10.0.0.7,BENIGN
8080,3128786,3,20,1087,4333,7.35,192.168.1.235,10.0.0.5,BENIGN
8080,1516842,10,38,2812,24098,31.62,192.168.1.214,10.0.0.7,BENIGN
53,1443842,12,7,4476,8626,13.15,192.168.1.108,10.0.0.8,BENIGN
443,2017013,25,39,2758,28258,31.71,192.168.1.192,10.0.0.5,BENIGN
8080,347105,23,17,3968,4157,114.91,192.168.1.176,10.0.0.6,BENIGN
53,820269,18,16,1407,16324,41.4,192.168.1.76,10.0.0.2,BENIGN
22,2149556,3,12,655,12293,6.97,192.168.1.10,10.0.0.2,BENIGN
53,145254,25,31,2300,33737,382.89,192.168.1.197,10.0.0.5,BENIGN
443,299998,771,0,34205,0,2569.16,185.220.96.10,10.0.0.1,DDoS
22,940714,11,18,3168,4332,30.79,192.168.1.202,10.0.0.6,BENIGN
22,4571790,15,35,2281,28066,10.93,192.168.1.35,10.0.0.1,BENIGN
22,1951855,35,31,5833,3234,35.84,103.203.57.217,10.0.0.4,SSH-Patator
8080,1690055,8,18,1797,11512,15.38,192.168.1.145,10.0.0.2,BENIGN
443,42900,33,15,11192,1988,1093.37,192.168.1.94,10.0.0.3,BENIGN
22,2773769,31,31,3132,21342,22.34,192.168.1.129,10.0.0.1,BENIGN
80,259983,27,2,10595,2679,111.12,192.168.1.78,10.0.0.6,BENIGN
554,7913201,30,31,12196,38302,7.71,192.168.1.28,10.0.0.5,BENIGN
14965,2756,1,0,58,0,700.27,194.26.29.49,10.0.0.2,PortScan
80,12129311,52,1,2399,143,4.29,45.154.255.202,10.0.0.1,DoS Hulk
22,1164290,22,37,8278,4912,50.63,192.168.1.232,10.0.0.8,BENIGN
443,1478500,23,22,7821,12501,30.42,192.168.1.55,10.0.0.9,BENIGN
53,896863,28,14,2221,13397,46.78,192.168.1.236,10.0.0.5,BENIGN
80,423855,599,0,35646,0,1412.88,185.220.176.215,10.0.0.1,DDoS
443,4509197,17,12,6291,1560,6.43,192.168.1.26,10.0.0.5,BENIGN
8080,4249952,16,36,8079,21312,12.23,192.168.1.179,10.0.0.5,BENIGN
554,1030213,26,11,6403,9173,35.88,192.168.1.128,10.0.0.6,BENIGN
80,11262038,59,1,3834,185,5.24,45.154.255.83,10.0.0.1,DoS Hulk
80,57148,23,25,4325,27922,825.47,192.168.1.84,10.0.0.3,BENIGN
22,80374,8,25,2118,12979,405.53,192.168.1.42,10.0.0.6,BENIGN
443,289731,17,32,4758,24137,168.54,192.168.1.110,10.0.0.7,BENIGN
53,120202,15,5,7292,781,165.01,192.168.1.235,10.0.0.6,BENIGN
80,339802,23,18,9442,9686,120.3,192.168.1.51,10.0.0.4,BENIGN
554,2689407,22,36,2184,22223,21.56,192.168.1.238,10.0.0.1,BENIGN
80,3066768,31,10,8459,5870,13.36,192.168.1.61,10.0.0.2,BENIGN
8080,3458112,9,14,3469,18702,6.65,192.168.1.51,10.0.0.7,BENIGN
80,7735326,32,29,9935,13736,7.88,192.168.1.45,10.0.0.8,BENIGN
80,319272,25,35,5136,25519,187.34,192.168.1.79,10.0.0.7,BENIGN
22,1881802,32,17,2395,8563,26.03,192.168.1.24,10.0.0.2,BENIGN
53,32579,12,13,4082,5285,744.51,192.168.1.147,10.0.0.3,BENIGN
443,4656361,24,16,7559,14549,8.59,192.168.1.222,10.0.0.2,BENIGN
8080,74780,6,2,802,2336,105.57,192.168.1.100,10.0.0.7,BENIGN
22,4035185,19,24,8594,20739,10.65,192.168.1.13,10.0.0.1,BENIGN
53,1240387,9,10,2005,9383,15.31,192.168.1.143,10.0.0.8,BENIGN
53,2582302,6,23,1663,31017,11.23,192.168.1.153,10.0.0.9,BENIGN
53,25338,8,23,2889,25155,1176.96,192.168.1.239,10.0.0.7,BENIGN
53,2685433,10,28,1853,22940,14.15,192.168.1.173,10.0.0.4,BENIGN
22,614733,10,8,4715,2395,29.23,192.168.1.107,10.0.0.1,BENIGN
443,10858289,28,29,11536,20421,5.25,192.168.1.73,10.0.0.4,BENIGN
443,14316427,34,44,19274,7671,4.75,198.51.100.119,10.0.0.3,Infiltration
8080,770890,33,26,7607,4838,76.44,192.168.1.72,10.0.0.2,BENIGN
8080,1823146,29,37,3706,35954,36.18,192.168.1.68,10.0.0.5,BENIGN
53,5499295,2,33,816,7260,6.36,192.168.1.72,10.0.0.4,BENIGN
80,207678,2078,0,152526,0,10001.04,185.220.97.136,10.0.0.1,DDoS
554,316311,23,13,11054,18169,113.45,192.168.1.128,10.0.0.1,BENIGN
554,492926,4,22,1342,3852,52.64,192.168.1.66,10.0.0.1,BENIGN
443,1452997,29,35,10074,38170,44.02,192.168.1.48,10.0.0.7,BENIGN
8080,1614096,20,36,7206,45355,34.67,192.168.1.63,10.0.0.2,BENIGN
554,558823,32,22,13237,9534,96.46,192.168.1.116,10.0.0.8,BENIGN
8080,107365,21,33,6217,20478,498.32,192.168.1.158,10.0.0.3,BENIGN
80,2595030,25,33,2986,43159,22.34,192.168.1.28,10.0.0.4,BENIGN
80,1622480,31,11,13035,10442,25.87,192.168.1.196,10.0.0.3,BENIGN
80,363254,8,33,3091,33948,112.56,192.168.1.88,10.0.0.3,BENIGN
22,422983,34,31,2771,14746,153.31,192.168.1.191,10.0.0.8,BENIGN
80,1509377,28,22,7391,6870,33.1,192.168.1.48,10.0.0.5,BENIGN
554,2942671,17,32,6603,27648,16.65,192.168.1.31,10.0.0.8,BENIGN
80,2683074,17,20,4794,19254,13.79,192.168.1.204,10.0.0.1,BENIGN
443,4886916,19,10,2142,9658,5.93,192.168.1.149,10.0.0.8,BENIGN
22,482283,21,8,8545,2252,60.01,192.168.1.83,10.0.0.3,BENIGN
22,1081580,10,5,3485,4533,13.86,192.168.1.200,10.0.0.1,BENIGN
80,5863576,53,2,4974,158,9.04,45.154.255.178,10.0.0.1,DoS Hulk
443,212325,2,34,1013,17455,168.76,192.168.1.32,10.0.0.2,BENIGN
80,357503,1897,0,115784,0,5304.75,185.220.212.183,10.0.0.1,DDoS
554,413834,28,31,10643,16669,142.23,192.168.1.234,10.0.0.9,BENIGN
8080,514812,13,15,2236,19339,54.28,192.168.1.235,10.0.0.3,BENIGN
22,688894,33,38,6551,27931,102.91,192.168.1.123,10.0.0.7,BENIGN
80,1648160,31,15,4559,9586,27.89,192.168.1.196,10.0.0.3,BENIGN
8080,5013108,24,4,9151,1783,5.58,192.168.1.150,10.0.0.1,BENIGN
8080,437053,239,0,18041,0,546.72,185.220.63.103,10.0.0.1,DDoS
554,827047,29,35,8624,23560,77.29,192.168.1.154,10.0.0.3,BENIGN
22,650197,20,15,1598,4129,53.75,192.168.1.161,10.0.0.2,BENIGN
554,659211,19,25,1575,29300,66.65,192.168.1.126,10.0.0.2,BENIGN
8080,357753,27,32,12400,27137,164.46,192.168.1.131,10.0.0.1,BENIGN
8080,375816,1726,0,86343,0,4591.44,185.220.10.1,10.0.0.1,DDoS
443,65079,7,30,1056,26364,559.93,192.168.1.19,10.0.0.5,BENIGN
53,1127390,28,33,10397,40172,54.06,192.168.1.85,10.0.0.8,BENIGN
21,2331915,21,18,3676,2824,18.0,103.203.57.86,10.0.0.4,SSH-Patator
443,355747,1689,0,73561,0,4746.42,185.220.212.169,10.0.0.1,DDoS
443,496193,8,27,589,19114,70.4,192.168.1.37,10.0.0.3,BENIGN
80,13070123,24,4,1852,178,1.84,45.154.255.191,10.0.0.1,DoS Hulk
53,340354,11,9,2210,11926,58.59,192.168.1.49,10.0.0.2,BENIGN
53,563373,14,36,1702,34742,88.59,192.168.1.192,10.0.0.6,BENIGN
8080,229176,726,0,41197,0,3166.49,185.220.28.67,10.0.0.1,DDoS
80,26255246,69,3,4133,100,2.63,45.154.255.119,10.0.0.1,DoS Hulk
47707,1114,2,0,53,0,1646.46,194.26.29.186,10.0.0.2,PortScan
80,3299962,9,27,1345,19100,10.91,192.168.1.76,10.0.0.9,BENIGN
80,3744079,33,2,6234,2020,9.35,192.168.1.127,10.0.0.2,BENIGN
22,515789,2,30,987,5374,61.92,192.168.1.109,10.0.0.1,BENIGN
80,22977088,17,4,883,104,0.74,45.154.255.51,10.0.0.1,DoS Hulk
80,13905553,47,2,3417,111,3.38,45.154.255.94,10.0.0.1,DoS Hulk
80,8030941,39,2,3647,97,4.86,45.154.255.6,10.0.0.1,DoS Hulk
554,110209,30,17,14818,5231,422.63,192.168.1.39,10.0.0.6,BENIGN
8080,1582770,17,27,7795,35004,27.78,192.168.1.187,10.0.0.8,BENIGN
8080,4521830,9,30,4219,16244,8.62,192.168.1.166,10.0.0.2,BENIGN
443,430613,28,17,12875,5112,104.26,192.168.1.199,10.0.0.8,BENIGN
22,1189798,9,37,1409,22016,38.63,192.168.1.219,10.0.0.9,BENIGN
53,451731,25,38,11691,30788,139.16,192.168.1.167,10.0.0.9,BENIGN
443,101082,23,22,7846,24679,440.82,192.168.1.144,10.0.0.5,BENIGN
53,1326140,11,38,5202,35101,36.92,192.168.1.58,10.0.0.4,BENIGN
22,604390,11,13,5493,9944,39.64,192.168.1.188,10.0.0.4,BENIGN
80,824336,26,25,7489,31180,61.79,192.168.1.76,10.0.0.4,BENIGN
22,3027851,25,5,11362,3914,9.9,192.168.1.185,10.0.0.9,BENIGN
443,5128696,5,39,1142,38802,8.58,192.168.1.105,10.0.0.6,BENIGN
22,795222,18,15,6977,10126,41.45,192.168.1.112,10.0.0.7,BENIGN
53,3172420,31,16,7638,8989,14.81,192.168.1.68,10.0.0.7,BENIGN
443,25636,17,3,2802,2286,750.86,192.168.1.72,10.0.0.9,BENIGN
443,262366,2154,0,106527,0,8206.76,185.220.101.118,10.0.0.1,DDoS
554,316883,15,25,6834,21263,125.83,192.168.1.227,10.0.0.4,BENIGN
443,1687929,13,30,6588,14357,25.46,192.168.1.165,10.0.0.3,BENIGN
21354,700,2,0,49,0,2497.72,194.26.29.223,10.0.0.2,PortScan
80,735408,14,28,1822,18714,57.03,192.168.1.159,10.0.0.3,BENIGN
554,1872158,17,16,8218,5384,17.62,192.168.1.29,10.0.0.8,BENIGN
80,11042618,56,1,5017,145,5.07,45.154.255.133,10.0.0.1,DoS Hulk
53,1436880,15,5,5825,2797,13.91,192.168.1.205,10.0.0.4,BENIGN
8080,1083459,20,12,5133,9030,29.51,192.168.1.229,10.0.0.5,BENIGN
554,3523140,30,22,10776,21274,14.76,192.168.1.102,10.0.0.6,BENIGN
443,452574,23,16,8903,18199,85.98,192.168.1.41,10.0.0.9,BENIGN
554,726807,30,39,8960,37482,94.81,192.168.1.186,10.0.0.3,BENIGN
22,1820875,15,36,4143,5451,27.99,192.168.1.14,10.0.0.7,BENIGN
22,2341447,17,16,3170,1649,14.51,103.203.57.100,10.0.0.4,SSH-Patator
443,1884150,8,27,3726,10620,18.57,192.168.1.39,10.0.0.1,BENIGN
53,537039,17,39,6906,38268,104.08,192.168.1.204,10.0.0.8,BENIGN
8080,1021896,10,28,2459,24003,37.15,192.168.1.102,10.0.0.3,BENIGN
8080,479551,28,7,12224,3211,72.83,192.168.1.198,10.0.0.8,BENIGN
22,594458,10,36,3441,13355,77.25,192.168.1.78,10.0.0.5,BENIGN
554,1069100,18,35,6645,7058,49.53,192.168.1.178,10.0.0.5,BENIGN
8080,272187,1262,0,53900,0,4634.81,185.220.164.253,10.0.0.1,DDoS
8080,250437,903,0,43060,0,3604.26,185.220.219.205,10.0.0.1,DDoS
80,833553,9,4,2758,3660,15.58,192.168.1.54,10.0.0.6,BENIGN
443,1187964,20,16,6464,9174,30.28,192.168.1.174,10.0.0.5,BENIGN
8080,740652,11,8,939,9931,25.62,192.168.1.238,10.0.0.1,BENIGN
8080,49120,1034,0,51587,0,21007.38,185.220.125.72,10.0.0.1,DDoS
22,1655948,5,13,1867,4704,10.86,192.168.1.181,10.0.0.4,BENIGN
22,967659,18,23,8408,23302,42.33,192.168.1.217,10.0.0.2,BENIGN
22,964719,29,25,2711,2816,60.06,103.203.57.88,10.0.0.4,SSH-Patator
22,2298857,15,11,1214,1987,13.04,103.203.57.77,10.0.0.4,SSH-Patator
